model,model_display_name,query_type,condition_a,condition_b,metric,n_pairs,metric_a,metric_b,paired_metric_diff,ci_low,ci_high,p_diff_le_0
qwen3_4b,Qwen3-4B,backadj,symbolic_shuffled_binary_score,nl_binary_score,scca,395,0.26329113924050634,0.17468354430379746,0.08860759493670886,0.05822784810126582,0.1189873417721519,0.0
qwen3_4b,Qwen3-4B,backadj,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,395,0.07848101265822785,0.0,0.07848101265822785,0.053164556962025315,0.10379746835443038,0.0
qwen3_4b,Qwen3-4B,backadj,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,395,0.1848101265822785,0.17468354430379746,0.010126582278481013,-0.03291139240506329,0.05063291139240506,0.339
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,nl_binary_score,strict_ccc,406,0.5320197044334976,0.5615763546798029,-0.029556650246305417,-0.08374384236453201,0.02469211822660093,0.885
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,nl_binary_score,scca,406,0.3078817733990148,0.3103448275862069,-0.0024630541871921183,-0.04433497536945813,0.03940886699507389,0.555
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,nl_binary_score,wrong_flip,406,0.22413793103448276,0.2512315270935961,-0.027093596059113302,-0.05671182266009852,0.0049261083743842365,0.962
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,nl_binary_score,signed_ccc,406,0.08374384236453201,0.059113300492610835,0.024630541871921183,-0.03201970443349754,0.0812807881773399,0.191
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,406,0.5320197044334976,0.49507389162561577,0.03694581280788178,-0.007389162561576354,0.08620689655172414,0.063
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,406,0.3078817733990148,0.2536945812807882,0.054187192118226604,0.017241379310344827,0.09359605911330049,0.004
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,406,0.22413793103448276,0.2413793103448276,-0.017241379310344827,-0.046798029556650245,0.012315270935960592,0.887
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,406,0.08374384236453201,0.012315270935960592,0.07142857142857142,0.022167487684729065,0.11828817733990142,0.0
qwen3_4b,Qwen3-4B,correlation,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,406,0.49507389162561577,0.5615763546798029,-0.0665024630541872,-0.10837438423645321,-0.022167487684729065,0.999
qwen3_4b,Qwen3-4B,correlation,symbolic_shuffled_binary_score,nl_binary_score,scca,406,0.2536945812807882,0.3103448275862069,-0.05665024630541872,-0.09359605911330049,-0.024630541871921183,1.0
qwen3_4b,Qwen3-4B,correlation,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,406,0.2413793103448276,0.2512315270935961,-0.009852216748768473,-0.03694581280788178,0.017241379310344827,0.814
qwen3_4b,Qwen3-4B,correlation,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,406,0.012315270935960592,0.059113300492610835,-0.046798029556650245,-0.09119458128078817,-0.0024630541871921183,0.984
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,nl_binary_score,strict_ccc,39,0.38461538461538464,0.20512820512820512,0.1794871794871795,0.02564102564102564,0.358974358974359,0.024
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,nl_binary_score,scca,39,0.1282051282051282,0.1794871794871795,-0.05128205128205128,-0.15384615384615385,0.02564102564102564,0.915
